Unnamed: 0,year,month,day,latitude,longitude,zon.winds,mer.winds,humidity,air temp.,predicted_s.s.temp.
117,1994,12,11,-4.99,-110.0,-7.7,2.4,79.3,24.44,23.743319
118,1996,1,29,4.97,-170.0,-6.0,2.6,82.2,26.47,27.498959
119,1991,8,13,0.02,-140.0,-8.2,0.6,85.1,26.31,25.675268
120,1995,8,9,5.01,-140.0,-6.3,-0.6,82.0,26.55,27.260471
121,1989,12,13,-0.01,165.0,2.5,1.1,82.0,28.9,29.350822
122,1986,9,5,-2.11,-140.0,-7.1,4.9,82.0,26.33,25.917261
123,1993,6,4,5.01,-110.0,0.0,0.9,86.2,26.66,27.393576
124,1988,6,12,2.07,-110.1,-3.2,1.9,86.2,21.0,22.161503
125,1992,3,13,4.99,-170.0,2.6,-3.3,78.5,26.8,28.298609
126,1987,10,20,2.04,165.0,-0.9,3.0,78.5,29.06,29.273863
127,1996,9,8,1.96,-170.0,-6.7,-1.2,82.7,27.34,27.433075
128,1990,1,20,-5.03,165.0,3.1,-3.0,82.7,27.34,28.722021
129,1993,11,30,-7.97,165.0,-3.9,1.8,81.7,28.98,29.474453
130,1989,1,27,-2.02,-140.0,-7.4,1.6,81.7,24.95,25.273968
131,1993,11,6,-4.97,-110.0,-6.3,2.5,81.4,24.34,23.770613
132,1988,5,9,2.07,-110.1,-2.6,3.5,81.4,25.16,25.46134
133,1994,10,7,2.04,-110.1,-3.2,4.1,77.2,24.6,24.631624
134,1987,2,23,0.0,-140.0,-7.4,-0.2,77.2,26.95,26.435564
135,1995,6,29,6.68,137.5,-3.4,0.3,77.2,27.84,28.695852
136,1996,3,3,-1.99,-95.0,-1.9,3.0,91.4,25.52,25.089495
137,1995,6,30,8.99,-140.2,-1.9,3.0,88.9,25.94,27.09259
138,1988,3,8,-2.0,164.9,-5.1,-2.6,88.9,29.05,28.840374
139,1994,10,24,2.03,-110.06,-4.9,3.6,80.4,25.16,24.988567
140,1993,4,22,0.01,156.0,-1.2,-0.3,80.7,28.27,28.903715
141,1988,11,9,2.01,-110.1,-2.3,5.5,80.7,22.36,22.859634
142,1986,4,9,-8.03,-109.94,-2.3,5.5,80.7,25.6,25.736565
143,1992,6,19,-4.97,-140.0,-2.3,5.5,80.9,28.06,28.072556
144,1984,4,23,0.04,-109.9,-0.9,0.6,80.9,25.39,24.950987
145,1995,6,20,-4.99,-155.0,-7.2,-1.7,83.3,27.64,27.753416
146,1994,10,7,2.0,-95.0,-1.0,4.3,81.3,22.56,23.16914
147,1995,8,25,1.98,-95.0,-2.7,5.2,86.1,21.95,22.858759
148,1990,6,15,4.99,-110.0,2.2,4.9,86.1,26.95,27.56123
149,1994,4,21,0.0,143.0,4.0,-0.7,90.3,27.88,28.786173
150,1992,12,1,-7.97,-125.0,-6.5,-2.3,90.3,27.88,27.227545
151,1990,7,21,-5.04,165.0,-4.7,2.0,90.3,27.69,28.781118
152,1992,10,6,-5.0,165.1,-3.7,-1.0,90.3,28.1,28.940716
153,1994,7,18,-8.02,-180.0,-2.9,2.5,79.8,28.77,29.916132
154,1993,9,19,2.0,-141.0,-6.0,1.6,79.8,25.66,25.609201
155,1994,1,27,-4.95,-110.0,-4.2,4.3,86.2,25.23,25.460526
156,1987,10,2,-2.0,165.1,2.5,-1.3,86.2,27.53,28.8903
157,1993,2,18,-4.97,-140.0,-4.7,-2.2,82.4,26.81,26.982075
158,1989,2,23,5.25,-140.1,-7.1,-3.1,82.4,25.44,26.637032
159,1987,8,13,-2.0,165.1,6.2,-1.2,82.4,28.38,29.177025
160,1994,10,7,4.99,-179.9,1.7,-3.0,77.6,28.16,29.39342
161,1993,1,29,-2.0,-95.0,-3.3,2.9,92.3,24.95,24.849411
162,1987,5,25,-0.01,-140.1,-4.8,0.6,92.3,28.5,27.72064
163,1989,1,11,-0.02,165.0,-5.8,-2.5,92.3,27.42,28.334364
164,1996,3,2,-1.99,-110.0,-3.1,0.7,92.3,25.6,25.178263
165,1995,4,12,4.99,147.0,4.9,-0.7,92.3,25.6,28.1933
166,1994,12,26,5.0,-179.9,-3.3,1.0,85.4,27.11,28.586527
167,1994,3,10,-4.98,-179.9,-0.8,-2.8,78.7,27.92,29.151064
168,1996,6,13,5.33,-124.9,-3.9,4.9,78.7,27.92,27.720407
169,1991,9,23,0.04,-110.0,-5.1,4.6,78.7,23.95,23.456146
170,1995,2,16,-4.99,-124.9,-5.8,1.7,88.7,26.33,26.202938
171,1994,4,26,-5.0,-170.0,-5.8,1.7,75.9,28.77,29.187744
172,1994,4,3,2.01,165.0,-4.3,-0.8,94.9,26.62,28.28346
173,1993,5,23,8.04,165.1,-5.7,0.6,87.6,27.58,28.511196
174,1994,5,22,5.01,147.0,-0.3,-1.8,78.7,28.88,28.985943
175,1994,9,11,-4.99,-124.9,-5.6,2.2,80.7,25.25,25.105383
176,1989,8,10,2.0,165.0,-1.7,-1.1,80.7,26.38,28.490864
177,1995,9,21,-8.29,-155.0,-6.8,0.5,79.9,27.95,28.284779
178,1995,8,6,2.0,165.0,-2.4,0.8,75.0,28.48,29.128366
179,1992,6,17,1.92,-125.06,-5.0,1.4,75.0,25.27,25.319023
180,1992,5,14,0.07,-110.06,-4.9,3.0,75.0,27.34,26.357315
181,1992,3,28,8.98,-140.2,-4.9,3.0,75.0,25.45,26.88522
182,1996,2,1,4.98,-170.0,-4.8,1.2,94.1,25.62,27.403658
183,1993,4,17,-5.01,-155.0,-5.2,-2.5,87.5,27.62,27.917309
184,1994,5,16,5.02,-95.0,-5.2,-2.5,79.4,27.89,27.621845
185,1992,10,18,-0.01,-124.4,-5.5,-0.2,91.9,23.16,22.89781
186,1988,9,5,4.99,-140.0,-0.4,3.0,91.9,25.52,26.760574
187,1993,4,11,-0.04,-170.0,-3.3,-1.4,83.1,28.55,28.678911
188,1995,5,18,-2.0,-110.0,-4.6,2.4,83.1,25.7,25.176945
189,1987,1,24,0.0,-140.0,-6.0,0.2,83.1,27.0,26.620317
190,1992,8,30,7.96,-155.0,-2.6,1.4,83.1,27.34,27.942957
191,1994,3,15,-1.98,-155.0,-6.9,-3.6,74.9,27.34,27.274546
192,1995,12,13,-5.01,-139.9,-5.6,-1.2,80.0,25.55,25.73587
193,1994,8,11,9.01,-140.2,-5.6,-1.2,88.9,26.48,27.167542
194,1993,5,12,4.97,147.0,-5.6,-1.2,81.3,28.02,28.62055
195,1995,3,8,0.04,-179.9,-5.8,1.2,77.5,28.45,28.737276
196,1996,12,14,5.04,165.0,-0.9,-0.1,77.8,28.34,29.159369
197,1994,3,3,-8.02,-109.94,-5.0,0.6,95.7,24.95,25.0577
198,1995,8,26,5.02,165.0,-2.6,2.8,95.7,28.16,28.826256
199,1995,5,20,0.0,147.0,-2.6,2.8,95.7,27.77,28.657417
200,1989,11,14,2.0,165.0,-1.6,2.9,95.7,26.9,28.60779
201,1993,9,13,-0.01,143.0,-3.7,0.4,86.8,26.34,28.409075
202,1995,10,24,-2.0,-110.0,-5.1,2.7,91.7,22.44,22.243198
203,1983,1,29,0.01,-94.75,-0.3,3.0,91.7,27.94,27.151772
204,1993,1,28,-5.01,-110.0,-5.7,1.9,83.6,25.45,25.54905
205,1993,9,9,-0.01,-124.4,-4.9,0.9,88.3,23.48,23.199
206,1994,12,18,5.06,-110.0,-4.3,1.2,90.2,25.84,26.289434
207,1992,9,14,0.0,156.0,0.4,2.4,84.2,27.77,28.951569
208,1989,5,9,-2.0,-110.0,-7.1,-0.1,84.2,25.78,25.063139
209,1995,6,1,-2.1,-124.9,-5.3,0.0,84.2,25.78,25.307987
210,1995,4,29,2.0,165.0,5.4,5.7,88.6,26.98,28.815292
211,1995,9,10,8.0,-170.0,-0.6,3.3,80.7,27.9,28.581503
212,1996,2,7,8.02,-170.0,-7.5,-0.8,83.0,26.73,27.360395
213,1993,10,2,2.04,-110.1,-7.5,-0.8,83.8,23.69,23.632355
214,1996,5,14,4.99,156.0,2.5,2.7,84.9,27.73,28.85201
215,1990,6,6,-0.01,-110.06,-5.3,4.2,84.9,27.73,26.422194
216,1990,9,8,5.0,147.0,-5.3,4.2,84.9,27.47,28.62508
217,1991,8,13,5.0,-154.9,0.3,3.1,90.2,26.88,28.148905
218,1985,12,17,-8.03,-109.94,0.3,3.1,90.2,23.55,23.95511
219,1991,8,28,5.01,-110.0,-1.1,4.7,90.2,24.39,25.738958
220,1992,3,20,-2.02,-155.0,4.5,0.5,79.7,28.47,29.039152
221,1996,1,28,2.0,147.0,4.5,0.5,75.9,28.95,29.158606
222,1993,6,28,-4.97,-110.0,-6.1,0.0,80.1,26.31,25.67506
223,1991,8,9,5.03,-140.0,-1.4,2.9,80.1,27.06,27.785866
224,1993,7,23,-5.02,-155.0,-6.1,-2.6,83.6,28.19,28.202797
225,1994,10,15,-4.99,165.1,2.7,1.3,88.1,27.31,29.003046
226,1993,1,14,-1.98,-140.0,-4.7,-2.4,84.4,25.86,26.03542
227,1995,1,17,2.0,-155.0,-8.1,-1.1,83.3,27.19,27.154747
228,1992,9,7,-0.03,-170.0,-8.1,-1.1,83.3,26.25,26.567045
229,1993,7,13,9.0,-140.2,-4.2,-5.5,72.1,27.9,27.654123
230,1982,6,16,0.02,-94.75,-3.7,5.2,72.1,24.3,24.11585
231,1992,5,8,-0.01,154.0,0.5,-0.9,72.1,24.3,28.09076
232,1991,1,16,-5.04,-110.0,-6.0,1.1,72.1,24.06,24.588657
233,1994,2,26,0.01,156.0,-1.5,2.8,71.6,27.69,28.873777
234,1996,9,6,8.02,-170.0,-4.8,0.4,80.0,26.81,28.071402
235,1993,5,26,4.99,156.0,-4.9,-2.9,84.0,28.36,28.703154
236,1993,6,30,8.04,165.1,-3.7,-5.1,82.5,27.97,28.635159
237,1992,10,25,-0.04,-170.0,-4.3,-2.8,78.1,26.88,27.2976
238,1989,8,14,5.01,-110.06,-1.2,4.0,78.1,24.27,25.718447
239,1993,12,22,-2.18,-170.0,-1.2,-4.9,78.5,27.66,28.209673
240,1993,6,18,5.05,165.0,-1.5,-0.9,87.5,27.3,28.591944
241,1996,10,4,4.97,-169.9,-1.5,-0.9,79.3,27.78,28.845995
242,1992,5,24,0.03,-140.0,-4.5,-0.2,85.3,27.3,26.847433
243,1994,9,15,8.12,-124.94,2.1,5.4,76.9,27.31,27.764856
244,1988,12,21,5.24,-140.0,-2.7,3.9,76.9,24.62,25.912868
245,1994,9,24,0.03,-140.0,-3.0,-0.7,76.4,25.14,25.155018
246,1994,11,22,1.96,-140.0,-5.4,2.2,79.2,27.3,26.790966
247,1994,2,25,4.98,-170.0,-7.9,-3.6,82.8,28.03,27.719353
248,1993,3,2,0.05,170.0,-7.9,-3.6,82.8,28.12,28.641815
249,1992,12,16,5.0,-109.94,-2.0,5.7,82.8,25.06,25.925356
250,1992,12,30,-8.27,-155.0,-7.3,-2.7,74.2,27.45,27.784023
251,1991,10,4,0.01,-140.0,-2.5,1.1,78.9,26.06,25.769041
252,1988,4,15,-2.01,164.9,-3.9,-2.7,78.9,28.27,28.822153
253,1996,2,17,2.01,147.0,1.4,0.1,73.9,29.1,29.152292
254,1994,8,5,-4.98,-139.9,-4.2,0.0,82.1,26.44,26.635715
255,1992,5,2,0.05,-124.4,-1.3,0.7,84.0,27.88,26.921522
256,1996,5,30,4.99,156.0,-1.3,0.7,83.3,27.14,28.61155
257,1992,2,19,0.0,-110.0,-4.9,3.4,83.3,26.52,25.930864
258,1995,5,23,4.94,137.0,5.5,-0.3,83.3,26.52,28.521154
259,1989,10,21,-2.01,-140.0,-7.9,0.3,83.3,25.67,25.390493
260,1994,8,21,-4.98,-95.0,-5.2,4.2,80.3,21.16,21.711092
261,1995,11,28,0.0,165.0,-2.4,0.5,76.6,21.16,27.506123
262,1992,12,1,5.01,-109.94,-3.8,4.9,76.6,24.9,25.777218
263,1993,8,25,0.03,-179.9,-0.6,-0.4,70.6,29.11,29.507664
264,1992,3,16,-8.27,-155.0,-3.6,-4.7,79.3,28.73,29.095499
265,1996,6,3,-0.02,-170.0,-6.0,-2.0,75.4,27.36,27.539623
266,1994,6,1,1.96,-125.06,-4.1,3.0,75.1,27.05,26.70429
267,1987,7,12,-0.01,-140.1,-6.5,1.2,75.1,27.45,26.69761
268,1994,5,18,-4.99,-139.9,-5.1,1.1,79.8,27.52,27.446642
269,1996,8,12,4.97,-109.94,-4.6,5.1,72.9,24.34,25.772337
270,1996,4,3,4.98,-109.94,-4.6,5.1,85.7,26.1,27.21118
271,1995,11,14,5.08,-155.0,-4.6,5.1,79.8,26.05,27.16613
272,1996,2,26,2.05,-155.0,-6.0,0.5,80.6,26.02,26.516912
273,1995,9,8,-1.99,-95.0,-3.2,3.4,90.6,20.06,20.51804
274,1993,7,10,-0.04,-124.4,-7.4,-0.7,89.5,23.77,23.357874
275,1993,9,16,-0.01,-110.0,-3.6,1.6,87.5,21.69,21.68013
276,1995,2,19,5.0,-154.9,-4.3,-5.1,82.7,27.34,27.585648
277,1996,11,1,2.0,165.0,-2.6,0.2,67.2,28.05,29.182491
278,1992,7,5,-5.04,-124.9,-5.7,1.3,87.5,26.27,25.952612
279,1992,7,18,4.99,-170.0,-2.5,-2.0,73.0,27.19,28.416567
280,1985,11,29,-8.03,-109.94,-2.5,-2.0,73.0,23.58,23.919363
281,1990,8,23,1.99,-110.1,-4.8,4.9,73.0,23.62,24.103285
282,1994,2,10,-2.18,-170.0,-4.7,-2.8,76.3,27.1,27.739914
283,1994,1,4,0.0,-110.0,-3.0,2.9,85.8,23.39,23.72905
284,1992,9,16,2.0,-155.0,-4.4,-0.1,77.3,26.31,26.52727
285,1993,10,4,4.97,137.0,-4.4,-0.1,77.3,26.31,28.395872
286,1993,7,13,-4.71,163.9,-2.7,1.1,89.5,27.4,28.77327
287,1993,12,29,4.97,-170.0,-6.3,-3.9,83.9,27.84,28.73158
288,1995,1,11,9.0,-140.2,-7.1,-6.2,88.7,26.3,26.690866
289,1996,3,9,2.01,165.0,-7.7,-1.8,80.0,28.12,28.695484
290,1993,3,22,-4.97,-140.0,-5.6,-0.2,82.4,27.75,27.607347
291,1996,6,24,4.97,-170.0,-2.2,-1.2,90.1,27.39,28.40984
292,1995,6,2,-5.01,-139.9,-7.2,-0.8,75.3,27.86,27.426424
293,1995,7,7,2.0,-155.0,-7.1,1.7,80.8,27.16,27.03931
294,1989,4,10,-2.0,-110.0,-4.1,1.4,80.8,26.11,25.547504
295,1989,9,4,-0.21,-124.44,-5.0,1.1,80.8,26.11,25.181673
296,1992,10,29,2.0,156.0,0.2,5.2,80.8,26.42,28.719172
297,1993,2,3,0.03,-109.94,0.2,5.2,80.8,26.42,26.045946
298,1996,7,20,-0.03,-95.0,-3.7,3.6,90.8,19.83,20.492872
299,1994,1,22,8.99,-140.2,-6.8,-3.1,84.9,27.19,26.999416
300,1993,6,26,-2.19,-170.0,-4.1,-1.5,74.2,28.77,28.956785
301,1992,7,14,0.01,156.0,2.7,0.1,83.4,27.72,28.91044
302,1995,1,23,-7.98,165.0,2.7,0.1,83.4,29.3,29.439522
303,1996,6,12,-1.95,164.4,-5.9,-1.4,75.6,28.66,29.06168
304,1993,1,12,-2.04,-124.9,-5.3,-1.0,85.1,24.38,24.583097
305,1996,8,13,5.34,-124.9,-5.2,5.2,74.4,26.27,27.270712
306,1991,4,25,-1.97,164.9,1.7,-1.6,74.4,27.66,28.921963
307,1993,2,4,0.03,-140.0,-7.2,-0.2,74.4,25.95,25.68631
308,1995,12,24,4.97,147.0,-5.9,-2.6,81.1,29.36,29.12005
309,1989,6,26,1.77,166.0,-2.2,1.0,81.1,29.36,29.178188
310,1989,5,4,-1.99,-110.0,-6.6,1.1,81.1,25.8,25.141254
311,1996,6,3,8.06,-110.1,0.5,-1.5,81.9,26.83,27.433634
312,1993,7,15,-2.01,-110.0,-6.6,2.1,87.5,24.48,23.984486
313,1995,5,11,-2.0,156.0,-4.1,0.6,87.5,29.62,29.16797
314,1994,2,14,2.0,137.4,-4.1,0.6,87.5,29.62,28.940489
315,1981,10,8,-0.02,-94.94,-2.4,5.4,87.5,21.48,21.48605
316,1996,11,18,0.02,-95.1,-3.0,1.1,87.2,19.6,19.956438
317,1993,5,15,0.0,165.0,4.2,4.5,81.1,27.88,29.083975
318,1994,10,19,0.0,156.0,4.2,4.5,81.1,27.88,29.192656
319,1993,1,1,0.05,170.0,4.2,4.5,81.1,27.81,28.973278
320,1991,12,20,-4.99,165.0,2.2,-2.2,81.1,27.4,29.046198
321,1991,8,21,-1.98,164.9,-2.0,-0.1,81.1,26.19,28.543812
322,1988,11,6,-0.06,-110.0,-2.1,0.6,81.1,19.66,20.049765
323,1986,7,17,-2.01,165.0,-1.1,0.4,81.1,29.12,29.180513
324,1991,11,12,0.0,165.0,5.9,1.5,75.5,26.97,29.05145
325,1989,3,9,1.94,-140.2,-5.6,-3.4,75.5,25.58,25.789911
326,1993,11,25,-8.28,-155.0,-0.2,-2.1,70.7,27.94,28.683739
327,1992,1,24,-5.0,-140.0,5.0,-2.0,70.7,26.84,27.75618
328,1987,12,31,-0.05,164.9,4.6,-4.6,70.7,27.11,28.988438
329,1995,10,12,0.0,-139.9,-6.6,0.1,78.8,24.42,24.283154
330,1994,4,28,-8.01,-125.0,-5.6,-0.5,78.8,24.42,25.076836
331,1994,9,9,5.04,165.0,5.2,3.6,87.1,27.36,28.939058
332,1986,5,8,-8.04,-109.94,5.2,3.6,87.1,26.53,26.839115
333,1993,8,19,0.02,-140.0,-4.7,2.0,79.9,24.48,24.548113
334,1990,7,23,-5.03,165.0,-6.1,0.8,79.9,27.9,28.887613
335,1984,12,28,-0.04,-140.1,-7.7,-0.6,79.9,23.81,23.697006
336,1993,8,28,-1.95,-179.9,-3.5,-1.7,79.9,28.98,29.387938
337,1994,7,17,5.01,-154.9,-2.1,-0.2,79.9,28.27,28.375782
338,1990,12,10,5.0,-110.0,-1.1,4.9,79.9,24.98,25.8789
339,1996,9,18,-1.98,-179.9,-1.8,-0.2,79.6,28.02,28.817244
340,1995,3,10,2.04,-110.1,-5.6,2.4,86.0,25.55,25.801064
341,1995,3,16,-2.0,156.0,-3.2,-1.5,86.0,29.27,29.036346
342,1994,1,24,4.96,147.0,-4.9,-4.4,86.7,27.61,28.33914
